customer_id,name,state,age,is_married,customer_health_index
C1,justin gutierrez,alaska,52,1,0.5902381646071405
C2,karen cross,idaho,29,1,0.6222007393358572
C3,amy king,oklahoma,70,1,0.22547563980984353
C4,nicole hartman,missouri,52,1,0.975816564416852
C5,jessica powers,minnesota,31,1,0.8861334224889401
C6,heather king,minnesota,22,0,0.34244230171877654
C7,todd jones,indiana,66,1,0.4212040065582042
C8,peter hobbs,idaho,86,0,0.6682948746505353
C9,vanessa smith,california,89,0,0.2515267552201119
C10,daniel allen,massachusetts,60,1,0.4741553879954149
C11,ashlee williams,nevada,61,0,0.9133315024262659
C12,william jones,colorado,24,1,0.09891298804281345
C13,benjamin yang,north dakota,38,0,0.500876593605995
C14,jeanette swanson,south dakota,35,0,0.41370457029858476
C15,darin nichols,north carolina,61,1,0.7357213537954959
C16,wesley wilson,vermont,89,0,0.3793270664765783
C17,joshua dunn,oregon,60,0,0.3509820498431898
C18,charles odom,vermont,49,0,0.07187538014010031
C19,nicole nicholson,utah,38,1,0.21456216486972535
C20,yolanda dunn,indiana,18,0,0.9119228831074437
C21,kevin newman,north dakota,73,1,0.9480150946743958
C22,casey tucker dvm,nebraska,29,0,0.9383298605807838
C23,richard nelson,south carolina,66,0,0.7189718322470381
C24,tammy hall,wisconsin,26,1,0.9560651930925971
C25,robert wells,wyoming,18,0,0.20246387849002023
C26,oscar baker,wisconsin,58,0,0.5173613367580718
C27,cynthia cortez,iowa,75,1,0.16465926530546815
C28,john baker,new hampshire,31,0,0.10679662154925418
C29,michael irwin,idaho,23,0,0.9060546123211914
C30,jean brewer,maryland,29,0,0.45103807379841654
C31,michael johnson,connecticut,36,1,0.3663497821132452
C32,kelly pena,washington,34,0,0.24781646258297496
C33,susan williams,connecticut,20,0,0.6612754233214165
C34,jo mcbride,new york,55,1,0.1456741854163559
C35,jeremy rodriguez,maryland,73,0,0.25803123822880103
C36,matthew lee,missouri,91,1,0.4900548576837743
C37,christopher mercado,louisiana,79,1,0.47236079335188197
C38,casey davis,indiana,51,0,0.018142685280528648
C39,steven martinez,alabama,78,0,0.1464144084380291
C40,gina price,maine,22,1,0.9092481940582158
C41,joseph nelson,iowa,57,0,0.7364211564901193
C42,catherine edwards,north carolina,61,1,0.7710918270432559
C43,jill williamson,west virginia,84,0,0.5170889630735233
C44,matthew brown,oregon,79,1,0.5704810155004435
C45,catherine livingston,nevada,44,1,0.5662654854073174
C46,david bryan,delaware,85,1,0.9457001277056232
C47,travis hamilton,florida,90,0,0.07301547473500092
C48,misty rivera,north dakota,58,0,0.25215376132023803
C49,daniel roberts,idaho,19,0,0.16817566308388276
C50,shelley cox,north carolina,68,0,0.8106905889757422
C51,michelle taylor,pennsylvania,83,0,0.8112254754714978
C52,brandon walters,north dakota,73,0,0.014612078999625244
C53,rachel soto,massachusetts,86,0,0.8954747219071122
C54,amy evans,georgia,80,0,0.46645169344434145
C55,john willis,montana,84,1,0.8705476220217877
C56,natasha lawrence,new hampshire,71,0,0.8123855411965507
C57,john cook,hawaii,65,0,0.1710584160155476
C58,brian morris,colorado,83,0,0.8815869058029101
C59,gabriel avila,new jersey,22,0,0.022617600780219127
C60,julia thomas,nevada,41,1,0.7841999306002857
C61,jeffrey garcia,maryland,28,0,0.5037504888905713
C62,denise walker,south dakota,80,0,0.5273325246847814
C63,amber nichols,florida,51,1,0.21945899764639942
C64,william warren,virginia,39,1,0.45925235980284196
C65,rose buck,new mexico,60,1,0.1608736650377709
C66,dana hodge,south dakota,61,1,0.3972434181616715
C67,eric anderson,alaska,88,0,0.5891632229867125
C68,gerald vargas md,indiana,68,1,0.5316936258102207
C69,alexa jones,vermont,27,0,0.4484672847722264
C70,gabrielle williams,oklahoma,76,1,0.20897399216122314
C71,amanda russell,north dakota,67,0,0.4894014969555971
C72,amy simpson,maryland,91,0,0.720042814750734
C73,tiffany sandoval,hawaii,61,1,0.9915071098077457
C74,karen golden,wyoming,20,0,0.9212859888280293
C75,douglas mason,illinois,42,0,0.6677601826389049
C76,scott perry,washington,29,1,0.31021351952907006
C77,matthew anderson,florida,64,1,0.8052801042950859
C78,danielle palmer,arkansas,19,1,0.08571598987563178
C79,richard pearson,nevada,63,0,0.14037989994930788
C80,deborah freeman,alabama,47,1,0.08651147784135549
C81,lauren reyes,connecticut,69,1,0.470128445327186
C82,tracy valentine,alabama,86,0,0.3507062980936664
C83,jon wilson,alaska,82,1,0.4185897093095805
C84,christopher gibson,south dakota,25,0,0.6948175346122479
C85,shawn powell,rhode island,54,1,0.37729400487502496
C86,adrian cortez,tennessee,81,0,0.5074499310169143
C87,erika smith,arizona,47,1,0.38883525725570867
C88,denise sawyer,oregon,87,0,0.5482834440952269
C89,michael jackson,oklahoma,79,1,0.49431958776058127
C90,david little,alaska,40,0,0.21240160727778878
C91,daniel fowler,north dakota,37,0,0.11182131932760486
C92,samantha schaefer,illinois,86,1,0.17191811568652016
C93,stacy gregory,texas,74,0,0.09125836203882165
C94,christine moore,alabama,66,0,0.13804743177597278
C95,michelle madden,wisconsin,77,0,0.14785417326457506
C96,michelle mendoza,rhode island,23,0,0.6388036273296863
C97,antonio odom,north dakota,19,0,0.31218680639023366
C98,amanda boyer,north dakota,35,0,0.38650034468090844
C99,jo thomas,maryland,76,1,0.37934659527448045
